apol,AMR,nBondsS2,Sv,Sse,Spe,Si,TSRW,band gap(eV),Feimi energy(eV),HOMO,Adsorption Energy(eV)
10.082758,16.1948,8,5.340282516,9.994173343,9.525490196,77.23928623,6.59441346,2.314,-3.66,-4.875,0
15.738344,26.4176,12,8.596909424,15.21267298,14.6,115.1647569,8.168486417,3.487,-4.2,-6.013,0
7.453586,16.4383,4,3.723539589,5.418790969,5.203921569,38.5583509,4.852030264,3.399,-3.691,-5.452,0
8.322758,12.5551,8,4.340282516,8.994173343,8.525490196,70.49659162,4.852030264,3.561,-3.444,-5.282,0
2.406,1.4429,1,2.144397313,3.991988347,4.047058824,24.46356287,4.852030264,0.587,-5.831,-6.202,0
10.522758,20.0505,9,5.856209648,11.32046613,10.90980392,87.9026994,7.183870715,2.395,-3.997,-5.258,0
4.867172,10.5682,5,2.59958274,6.101966497,5.835294118,49.97722874,2.564949357,3.511,-3.395,-5.22,0
10.082758,15.6279,10,5.340282516,9.994173343,9.525490196,77.23928623,8.373091847,3.623,-3.28,-5.154,0
6.639586,13.7208,4,3.87327987,6.956664239,6.784313725,46.95272216,6.59441346,3.56,-4.208,-6.017,0
29.825137,62.6891,11,16.62578689,24.3197378,23.65490196,179.2094533,9.631153757,1.544,-4.689,-5.534,0
19.414344,39.8829,9,10.16731122,15.55134741,14.90196078,119.0837988,8.556606194,3.493,-4.077,-5.895,0
8.966793,21.3642,4,4.543481579,5.740349599,5.580392157,38.18061856,6.59441346,3.364,-4.207,-5.956,0
10.547172,20.6602,7,5.265367393,8.306627822,7.929411765,61.58660599,6.59441346,3.324,-3.629,-5.359,1
16.597965,34.1735,7,9.542131284,14.54406409,14.20392157,106.1821647,8.836955157,0.948,-4.505,-5.045,1
7.953965,12.7244,8,4.112533076,7.882738529,7.505882353,62.90234431,7.625595072,3.593,-3.16,-5.012,1
8.755965,12.8659,7,4.82733218,9.213401311,8.854901961,71.05686527,6.59441346,3.487,-3.5,-5.27,1
17.399965,35.779,8,10.25693039,15.87472688,15.55294118,114.3366856,9.055672892,3.189,-4.965,-6.637,1
12.060379,26.2173,7,6.085309383,8.628186453,8.305882353,61.20887365,7.913521017,2.537,-3.866,-5.216,1
12.060379,25.7097,7,6.085309383,8.628186453,8.305882353,61.20887365,7.183870715,2.864,-3.571,-5.074,1
7.960758,14.2808,8,4.141410543,8.98980335,8.560784314,73.00548383,4.852030264,3.602,-3.327,-5.187,1
9.213586,20.4606,4,4.723539589,6.418790969,6.203921569,45.30104551,6.59441346,3.33,-3.927,-5.659,1
19.153172,39.7488,8,11.22805292,15.76766205,15.49803922,110.9762407,9.633645398,0.951,-4.43,-4.976,1
19.363516,29.5874,17,9.965765927,18.6576839,17.70196078,146.3240515,7.958576904,3.729,-4.041,-5.972,1
10.515965,17.5136,7,5.82733218,10.21340131,9.854901961,77.79955988,7.183870715,1.995,-3.945,-4.995,1
9.551172,17.2914,6,5.513253816,9.436999272,9.149019608,69.10824671,7.183870715,2.331,-4.129,-5.341,1
12.651551,18.7833,11,7.083959088,13.43190095,12.92941176,102.2396413,7.46565531,3.565,-3.245,-5.08,1
13.640758,25.24,10,6.807195196,11.19446468,10.65490196,84.61486108,7.183870715,3.675,-3.788,-5.691,1
20.74793,39.5198,12,10.70913902,17.43918427,16.62745098,135.3693593,8.796490207,3.735,-4.051,-5.993,1
26.082274,38.1492,25,12.87645023,24.99053168,23.52941176,200.5116012,8.635687085,3.79,-3.932,-5.891,1
19.421137,38.7876,11,10.19618868,16.65841224,15.95686275,129.1869383,8.796490207,2.738,-3.819,-5.185,1
20.216344,39.4649,12,10.88211032,16.8820102,16.25098039,127.2383198,9.339788439,3.08,-3.747,-5.326,1
22.934344,49.1528,8,12.16731122,17.55134741,16.90196078,132.569188,9.288504393,3.367,-4.112,-5.83,1
13.573586,30.7638,7,6.905251374,8.949745084,8.682352941,60.83114132,7.917536354,3.264,-4.058,-5.745,1
24.164,57.7545,7,13.64184124,16.15185725,16.08627451,104.293503,9.905435654,0.921,-4.797,-5.328,1
13.233965,27.3863,5,7.112533076,10.88273853,10.50588235,83.13042814,7.921172722,2.398,-3.815,-5.072,1
19.902379,46.7099,7,10.80010849,13.95884924,13.65490196,96.33417305,9.297526734,3.197,-4.056,-5.704,1
13.176344,21.2183,11,6.88211032,12.8820102,12.25098039,100.2675413,7.183870715,2.788,-3.845,-5.297,1
12.644758,21.105,9,7.05508162,12.32483613,11.8745098,92.1365018,7.46565531,3.393,-3.928,-5.696,1
12.24,30.9454,4,6.36342357,7.06190823,6.956862745,44.54558084,7.917536354,2.985,-4.04,-5.587,1
34.111172,81.3254,12,18.87667739,23.4989075,23.10588235,160.8526898,10.22814021,2.937,-4.095,-5.594,1
14.560758,30.9558,6,7.625483411,11.66351056,11.17647059,89.3128491,7.921172722,3.54,-3.906,-5.711,1
21.18793,42.3374,13,11.22506615,18.76547706,18.01176471,146.0327725,9.038602609,3.465,-3.618,-5.402,1
35.353965,83.0524,10,18.80884897,23.04697742,22.50980392,160.451476,10.05078624,3.447,-4.256,-5.983,1
19.895102,23.4438,19,9.792794627,19.21485798,18.07843137,154.455091,6.996681488,3.753,-3.882,-5.823,1
36.87193,77.6108,14,20.65466436,29.42680262,28.70980392,216.2833713,9.715711145,2.258,-3.799,-4.952,1
17.654344,35.2378,9,9.167311215,14.55134741,13.90196078,112.3411042,8.388905171,3.69,-3.887,-5.769,1
20.74793,39.5198,12,10.70913902,17.43918427,16.62745098,135.3693593,8.727292029,3.726,-3.82,-5.73,1
15.362758,32.5613,7,8.340282516,12.99417334,12.5254902,97.46737006,8.388905171,3.549,-3.894,-5.705,1
17.840758,39.2218,8,9.47430287,14.09213401,13.60784314,105.7809509,8.796490207,2.892,-3.986,-5.495,1
19.902379,46.7099,7,10.80010849,13.95884924,13.65490196,96.33417305,9.287579152,3.211,-4.134,-5.802,1
20.74793,39.5198,12,10.70913902,17.43918427,16.62745098,135.3693593,8.712924435,3.686,-3.901,-5.8,1
14.831172,31.0288,8,8.513253816,12.43699927,12.14901961,89.33633054,8.712924435,0.833,-5.357,-5.841,1
18.094344,38.0554,10,9.683238347,15.8776402,15.28627451,123.0045174,8.712924435,3.201,-3.471,-5.142,1
