HeavyAtomCount,HeavyAtomMolWt,apol,AMR,nAtom,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsM,bpol,Sv,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,TPSA,TSRW,MW,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,band gap(eV),Feimi energy(eV),HOMO,LUMO,Adsorption Energy(eV)
2,138.915,9.110379,19.6429,5,1,4,4,4,1,0,0,0,0,6.869621,3.392711582,4.843408594,4.631372549,4.524,5.401424551,37.42927485,0.678542316,0.968681719,0.92627451,0.9048,1.08028491,7.48585497,0,2.564949357,141.9279481,0,0,0,0,0,0,0,0,1,0,0,0,0,14,3.073,-3.811,-5.413,-2.34,-0.543732753
2,24.022,6.187172,9.9758,6,1,5,4,4,0,1,1,0,1,4.372828,3.083655608,5.775673707,5.450980392,5.52,3.597108982,46.05651018,0.513942601,0.962612285,0.908496732,0.92,0.599518164,7.67608503,0,2.564949357,28.03130013,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.746,-3.889,-5.819,-2.073,-0.565420238
3,46.005,3.370793,7.7391,4,2,3,2,2,1,1,1,0,1,0.731207,2.458475677,4.768390386,4.752941176,4.908,2.018438922,33.15487605,0.614618919,1.192097597,1.188235294,1.227,0.504609731,8.288719012,49.66,4.852030264,47.00072827,1,3,0,0,0,0,2,1,3,0,0,0,0,18,1.457,-4.89,-5.681,-4.224,-0.566797135
2,28.01,3.895586,6.307,4,1,3,2,2,0,1,1,0,1,3.144414,2.256626908,4.218499636,4.074509804,4.16,2.278794012,31.18277605,0.564156727,1.054624909,1.018627451,1.04,0.569698503,7.795694012,17.07,2.564949357,30.01056468,0,1,0,0,0,0,1,0,1,0,0,0,0,12,1.886,-4.167,-5.17,-3.284,-0.573980945
1,32.067,4.233586,0,3,0,2,2,2,0,0,0,0,0,4.466414,1.728882556,2.964675892,2.737254902,2.736,2.535081437,22.48915928,0.576294185,0.988225297,0.912418301,0.912,0.845027146,7.496386427,0,0.693147181,33.98772106,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3.59,-3.659,-5.513,-1.923,-0.580865429
3,36.033,10.614344,14.709,11,2,10,10,10,2,0,0,0,0,8.745656,5.167311215,10.55134741,9.901960784,10.04,6.194217964,85.37032575,0.469755565,0.959213401,0.900178253,0.912727273,0.563110724,7.760938704,0,4.852030264,44.06260026,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.751,-3.794,-5.735,-1.985,-0.588971705
3,46.005,2.704,5.4613,3,2,2,1,1,1,1,1,0,1,0.596,2.187561775,3.824471959,3.890196078,4.028,1.619161677,25.01209581,0.729187258,1.274823986,1.296732026,1.342666667,0.539720559,8.337365269,49.33,4.852030264,45.99290324,0,3,0,0,0,0,2,0,3,1,0,0,0,17,0.552,-4.721,-6.034,-5.482,-0.590190776
1,15.999,2.135586,0,3,0,2,2,2,0,0,0,0,0,0.270414,1.256626908,3.218499636,3.074509804,3.16,1.278794012,24.44008144,0.418875636,1.072833212,1.024836601,1.053333333,0.426264671,8.146693812,31.5,0.693147181,18.01056468,2,1,0,0,0,0,0,0,1,0,0,0,0,8,3.509,-3.715,-5.528,-2.019,-0.610387077
3,38.029,6.620379,11.623,6,2,5,4,4,1,0,0,1,1,3.939621,3.570705272,5.994901675,5.780392157,5.868,3.856514371,46.61678383,0.595117545,0.999150279,0.963398693,0.978,0.642752395,7.769463972,23.79,4.852030264,41.0265491,0,1,0,0,0,0,1,0,1,0,0,0,0,16,3.238,-2.872,-4.518,-1.28,-0.670227667
2,47.464,5.940379,11.3123,5,1,4,4,4,1,0,0,0,0,3.699621,2.903597598,5.097232338,4.82745098,4.772,3.503220958,38.93608323,0.58071952,1.019446468,0.965490196,0.9544,0.700644192,7.787216647,0,2.564949357,49.99232778,0,0,0,0,0,0,0,0,1,0,0,0,0,14,3.654,-3.575,-5.469,-1.815,-0.696149246
4,62.004,4.172793,6.1678,5,3,4,3,3,2,1,1,0,1,1.029207,3.173274781,6.099053168,6.101960784,6.308,2.498678443,41.30939701,0.634654956,1.219810634,1.220392157,1.2616,0.499735689,8.261879401,63.37,6.59441346,62.99564289,1,4,0,0,0,0,2,1,4,0,0,0,0,24,2.626,-4.755,-6.106,-3.481,-0.697194164
4,48.044,13.70793,17.6206,14,3,13,13,13,3,0,0,0,0,10.93207,6.709139019,13.43918427,12.62745098,12.8,7.992772455,108.3985808,0.479224216,0.959941733,0.901960784,0.914285714,0.570912318,7.742755774,0,5.993961427,58.07825032,0,0,0,0,0,0,0,0,0,0,1,0,0,26,3.737,-3.822,-5.754,-2.017,-0.716813583
7,107.519,16.073965,35.672,12,7,12,9,6,1,3,0,0,6,5.886035,8.445425402,11.98506919,11.55294118,11.532,9.301775449,88.93511677,0.70378545,0.998755766,0.962745098,0.961,0.775147954,7.411259731,0,8.388905171,112.0079778,0,0,0,0,1,1,0,0,1,0,0,0,0,36,3.598,-3.705,-5.515,-1.917,-0.741984128
6,76.054,17.603516,26.8163,18,5,17,17,17,5,0,0,0,0,15.034484,8.965765927,17.6576839,16.70196078,16.96,10.27156647,139.5813569,0.498098107,0.980982439,0.92788671,0.942222222,0.570642582,7.754519827,9.23,8.256088134,88.088815,0,1,0,0,0,0,1,0,1,0,1,0,0,38,3.749,-3.876,-5.824,-2.075,-0.747535254
3,59.475,9.033965,15.6061,8,2,7,7,7,2,0,0,0,0,5.886035,4.445425402,7.985069192,7.552941176,7.532,5.301775449,61.96433832,0.555678175,0.998133649,0.944117647,0.9415,0.662721931,7.74554229,0,4.852030264,64.00797784,0,0,0,0,0,0,0,0,1,0,0,0,0,20,3.696,-3.794,-5.707,-2.011,-0.755902759
5,120.913,7.234,17.579,5,4,4,4,4,4,0,0,0,0,3.246,4.474821087,6.444282593,6.6,6.544,4.277844311,43.13841916,0.894964217,1.288856519,1.32,1.3088,0.855568862,8.627683832,0,7.913521017,119.9345118,0,0,0,0,0,0,0,0,4,0,0,0,0,32,2.93,-4.062,-5.605,-2.675,-0.756827947
2,28.01,5.229172,8.2613,6,1,5,5,5,1,0,0,0,0,4.372828,2.798454712,6.106336489,5.8,5.92,3.077348503,47.46833653,0.466409119,1.017722748,0.966666667,0.986666667,0.512891417,7.911389421,20.23,2.564949357,32.02621475,1,1,0,0,0,0,1,1,1,0,0,0,0,14,3.552,-3.448,-5.282,-1.729,-0.763116502
4,50.04,8.380379,16.2707,7,3,6,4,4,1,1,1,1,2,3.939621,4.570705272,6.994901675,6.780392157,6.868,4.856514371,53.35947844,0.652957896,0.999271668,0.968627451,0.981142857,0.693787767,7.622782635,23.79,5.993961427,53.0265491,0,1,0,0,0,0,1,0,1,0,0,0,0,20,1.237,-4.047,-4.731,-3.494,-0.771649997
5,130.381,10.726793,25.2622,6,4,5,4,4,3,1,1,0,1,2.353207,5.543481579,6.740349599,6.580392157,6.276,6.31544491,44.92331317,0.923913597,1.1233916,1.096732026,1.046,1.052574152,7.487218862,0,7.183870715,129.9143831,0,0,0,0,0,0,0,0,3,0,0,0,0,30,3.417,-3.891,-5.649,-2.232,-0.778186175
4,52.032,10.082758,16.7418,10,3,9,8,8,2,1,1,0,1,7.517242,5.340282516,9.994173343,9.525490196,9.68,5.875902994,77.23928623,0.534028252,0.999417334,0.95254902,0.968,0.587590299,7.723928623,17.07,5.993961427,58.04186481,0,1,0,0,0,0,1,0,1,0,1,0,0,24,2.296,-3.799,-5.007,-2.71,-0.793081695
3,64.065,5.837586,12.9227,5,2,4,4,4,2,0,0,0,0,4.466414,3.158480765,5.626001457,5.435294118,5.536,3.495560479,38.7982012,0.631696153,1.125200291,1.087058824,1.1072,0.699112096,7.75964024,40.46,4.852030264,65.9775503,2,2,0,0,0,0,3,2,3,0,0,0,0,20,3.398,-3.888,-5.655,-2.257,-0.796118488
6,82.038,12.651551,18.9919,13,5,12,11,11,4,1,1,0,1,8.908449,7.083959088,13.43190095,12.92941176,13.188,7.414102395,102.2396413,0.54491993,1.03322315,0.994570136,1.014461538,0.570315569,7.864587794,43.14,7.917536354,89.04767846,0,3,0,0,0,0,2,0,3,0,1,0,0,36,1.592,-4.366,-5.232,-3.64,-0.809569083
4,98.916,6.922,17.2152,4,3,3,2,2,2,1,1,0,1,1.798,3.896510889,4.861616897,4.82745098,4.664,4.091017964,30.42731138,0.974127722,1.215404224,1.206862745,1.166,1.022754491,7.606827844,17.07,6.59441346,97.93261998,0,1,0,0,0,0,1,0,3,0,0,0,0,24,2.329,-4.375,-5.608,-3.279,-0.813112007
9,178.425,19.100379,45.1044,12,9,12,9,6,3,3,0,0,6,4.539621,10.08530938,12.62818645,12.30588235,12.036,11.1139994,88.1796521,0.840442449,1.052348871,1.025490196,1.003,0.926166617,7.348304341,0,9.038602609,179.9300331,0,0,0,0,1,1,0,0,3,0,0,0,0,48,3.047,-4.012,-5.573,-2.527,-0.821422368
5,96.063,7.441586,13.1972,7,4,6,4,4,2,2,2,0,2,8.662414,4.588078974,8.287327021,8.133333333,8.336,4.456039521,55.10724311,0.655439853,1.18390386,1.161904762,1.190857143,0.636577074,7.872463302,74.6,7.913521017,97.96737954,2,4,0,0,0,0,2,2,5,0,0,0,0,32,3.475,-4.249,-6.022,-2.547,-0.832108285
5,66.039,11.849551,20.1873,12,4,11,10,10,3,1,1,0,1,10.590449,6.369159984,12.10123816,11.58039216,11.788,6.933862874,94.08512036,0.530763332,1.008436514,0.96503268,0.982333333,0.577821906,7.840426697,20.31,7.183870715,73.05276384,0,2,0,0,0,0,1,0,2,0,1,0,0,30,3.48,-4.303,-6.081,-2.602,-0.848078656
7,116.097,14.586758,22.3278,13,7,13,11,11,5,2,2,0,2,14.951242,7.956935477,13.73233795,13.23529412,13.456,8.572908982,99.75192695,0.61207196,1.056333688,1.018099548,1.035076923,0.659454537,7.67322515,43.37,8.898911906,122.0037651,0,3,1,1,0,0,3,0,4,0,0,1,1,42,3.658,-3.544,-5.435,-1.777,-0.878095551
7,88.065,19.363516,29.1534,19,6,18,17,17,5,1,1,0,1,14.076484,9.965765927,18.6576839,17.70196078,17.96,11.27156647,146.3240515,0.524513996,0.981983363,0.931682147,0.945263158,0.59324034,7.701265868,17.1,7.796469243,100.088815,0,1,0,0,0,0,1,0,1,0,3,0,0,42,3.726,-3.93,-5.868,-2.142,-0.885268476
5,68.031,9.551172,15.5531,9,5,9,8,8,4,1,1,0,1,7.246828,5.513253816,9.436999272,9.149019608,9.32,5.557588024,69.10824671,0.612583757,1.048555475,1.016557734,1.035555556,0.61750978,7.678694079,26.3,8.529911964,72.02112937,0,2,1,1,0,0,2,0,2,0,0,1,1,28,3.269,-3.457,-5.152,-1.883,-0.888041318
7,96.041,10.779586,21.4016,9,7,9,6,6,4,3,3,0,3,6.018414,6.686225117,9.8798252,9.77254902,9.96,6.239273054,67.7199018,0.742913902,1.097758356,1.08583878,1.106666667,0.693252562,7.524433533,43.37,8.621913502,98.00039392,0,3,1,1,0,0,3,0,3,0,0,0,0,36,0.853,-4.692,-5.192,-4.339,-0.892822361
3,59.475,7.700379,14.7774,6,2,5,4,4,1,1,1,0,1,3.699621,3.903597598,6.097232338,5.82745098,5.772,4.503220958,45.67877784,0.6505996,1.01620539,0.97124183,0.962,0.750536826,7.613129641,0,4.852030264,61.99232778,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3.505,-3.837,-5.664,-2.159,-0.89685509
4,52.032,10.082758,16.1948,10,3,9,8,8,2,1,1,0,1,7.517242,5.340282516,9.994173343,9.525490196,9.68,5.875902994,77.23928623,0.534028252,0.999417334,0.95254902,0.968,0.587590299,7.723928623,17.07,6.59441346,58.04186481,0,1,0,0,0,0,1,0,1,0,0,0,0,24,2.314,-3.66,-4.875,-2.561,-0.898544918
7,92.053,15.738344,26.4176,15,6,14,12,12,4,2,2,0,2,11.619656,8.596909424,15.21267298,14.6,14.84,9.154697006,115.1647569,0.573127295,1.014178199,0.973333333,0.989333333,0.610313134,7.677650459,26.3,8.168486417,100.0524295,0,2,0,0,0,0,2,0,2,0,2,0,0,40,3.487,-4.2,-6.013,-2.526,-0.898803427
3,82.917,7.453586,16.4383,5,2,4,4,4,2,0,0,0,0,3.026414,3.723539589,5.418790969,5.203921569,5.024,4.409332934,38.5583509,0.744707918,1.083758194,1.040784314,1.0048,0.881866587,7.71167018,0,4.852030264,83.95335542,0,0,0,0,0,0,0,0,2,0,0,0,0,20,3.399,-3.691,-5.452,-2.053,-0.926553612
3,40.021,8.322758,12.5551,9,2,8,8,8,2,0,0,0,0,6.559242,4.340282516,8.994173343,8.525490196,8.68,4.875902994,70.49659162,0.482253613,0.999352594,0.947276688,0.964444444,0.541766999,7.832954624,20.23,4.852030264,46.04186481,1,1,0,0,0,0,1,1,1,0,0,0,0,20,3.561,-3.444,-5.282,-1.722,-0.933141492
3,47.997,2.406,1.4429,3,2,2,1,1,1,1,1,0,1,0,2.144397313,3.991988347,4.047058824,4.2,1.440718563,24.46356287,0.714799104,1.330662782,1.349019608,1.4,0.480239521,8.154520958,51.43,4.852030264,47.98474386,0,3,0,0,0,0,2,0,3,0,0,0,0,18,0.587,-5.831,-6.202,-5.615,-0.94273079
5,68.035,10.522758,20.0505,11,4,10,9,9,3,1,1,0,1,8.177242,5.856209648,11.32046613,10.90980392,11.136,6.193268263,87.9026994,0.532382695,1.029133285,0.991800357,1.012363636,0.563024388,7.991154491,32.67,7.183870715,74.04801281,0,3,0,0,0,0,2,0,3,0,1,0,0,30,2.395,-3.997,-5.258,-2.862,-0.982377799
2,28.014,4.867172,10.5682,6,1,5,5,5,1,0,0,0,0,1.732828,2.59958274,6.101966497,5.835294118,5.976,2.914474251,49.97722874,0.43326379,1.016994416,0.97254902,0.996,0.485745709,8.329538124,52.04,2.564949357,32.03744813,4,2,0,0,0,0,2,2,2,0,0,0,0,14,3.511,-3.395,-5.22,-1.709,-0.988342538
4,52.032,10.082758,15.6279,10,4,10,10,10,4,0,0,0,0,8.475242,5.340282516,9.994173343,9.525490196,9.68,5.875902994,77.23928623,0.534028252,0.999417334,0.95254902,0.968,0.587590299,7.723928623,12.53,8.373091847,58.04186481,0,1,1,1,0,0,1,0,1,0,0,1,1,24,3.623,-3.28,-5.154,-1.53,-0.995501858
4,80.064,6.639586,13.7208,6,3,5,4,4,2,1,1,0,1,6.564414,3.87327987,6.956664239,6.784313725,6.936,3.9758,46.95272216,0.645546645,1.15944404,1.130718954,1.156,0.662633333,7.825453693,57.53,6.59441346,81.97246492,2,3,0,0,0,0,1,2,4,0,0,0,0,26,3.56,-4.208,-6.017,-2.457,-0.995591655
15,190.137,29.825137,62.6891,24,16,25,18,11,2,7,1,0,14,11.094863,16.62578689,24.3197378,23.65490196,23.948,17.21265689,179.2094533,0.69274112,1.013322408,0.985620915,0.997833333,0.717194037,7.467060554,43.14,9.631153757,199.0633285,0,3,0,0,2,2,2,0,3,0,2,0,0,74,1.544,-4.689,-5.534,-3.989,-0.998489669
8,96.088,19.414344,39.8829,16,8,16,12,9,1,4,1,0,7,8.745656,10.16731122,15.55134741,14.90196078,15.04,11.19421796,119.0837988,0.635456951,0.971959213,0.931372549,0.94,0.699638623,7.442737425,0,8.556606194,104.0626003,0,0,0,0,1,1,0,0,0,0,1,0,0,40,3.493,-4.077,-5.895,-2.402,-0.998489669
4,118.37,8.966793,21.3642,5,3,4,4,4,3,0,0,0,0,2.353207,4.543481579,5.740349599,5.580392157,5.276,5.31544491,38.18061856,0.908696316,1.14806992,1.116078431,1.0552,1.063088982,7.636123713,0,6.59441346,117.9143831,0,0,0,0,0,0,0,0,3,0,0,0,0,26,3.364,-4.207,-5.956,-2.592,-0.999730509
4,94.928,10.547172,20.6602,8,3,7,7,7,3,0,0,0,0,5.212828,5.265367393,8.306627822,7.929411765,7.784,6.207887425,61.58660599,0.658170924,1.038328478,0.991176471,0.973,0.775985928,7.698325749,0,6.59441346,97.96900549,0,0,0,0,0,0,0,0,2,0,0,0,0,26,3.324,-3.629,-5.359,-2.034,-1.014884538
9,118.071,16.597965,34.1735,14,9,14,10,7,2,4,1,0,7,6.722035,9.542131284,14.54406409,14.20392157,14.428,9.615547904,106.1821647,0.681580806,1.038861721,1.014565826,1.030571429,0.68682485,7.584440334,43.14,8.836955157,123.0320284,0,3,0,0,1,1,2,0,3,0,1,0,0,46,0.948,-4.505,-5.045,-4.097,-1.028841265
3,38.029,7.953965,12.7244,8,3,8,8,8,3,0,0,0,0,6.126035,4.112533076,7.882738529,7.505882353,7.628,4.655068862,62.90234431,0.514066634,0.985342316,0.938235294,0.9535,0.581883608,7.862793039,21.94,7.625595072,43.04219916,1,1,1,1,0,0,1,1,1,0,0,1,1,18,3.593,-3.16,-5.012,-1.419,-1.033091686
4,54.028,8.755965,12.8659,9,3,8,7,7,2,1,1,0,1,5.764035,4.82733218,9.213401311,8.854901961,9.028,5.135308383,71.05686527,0.536370242,1.023711257,0.983877996,1.003111111,0.57058982,7.895207252,43.09,6.59441346,59.03711378,2,2,0,0,0,0,1,1,2,0,0,0,0,24,3.487,-3.5,-5.27,-1.783,-1.04720896
10,134.07,17.399965,35.779,15,10,15,11,8,3,4,1,0,7,6.722035,10.25693039,15.87472688,15.55294118,15.828,10.09578743,114.3366856,0.683795359,1.058315125,1.036862745,1.0552,0.673052495,7.622445709,63.37,9.055672892,139.026943,1,4,0,0,1,1,3,1,4,0,1,0,0,52,3.189,-4.965,-6.637,-3.448,-1.051979118
5,130.381,12.060379,26.2173,8,4,7,7,7,4,0,0,0,0,4.539621,6.085309383,8.628186453,8.305882353,8.036,7.113999401,61.20887365,0.760663673,1.078523307,1.038235294,1.0045,0.889249925,7.651109207,0,7.913521017,131.9300331,0,0,0,0,0,0,0,0,3,0,0,0,0,32,2.537,-3.866,-5.216,-2.678,-1.054969651
